Parasite.treatment,Compound.name,Concentration,Rep,Number,End_time,Dead
Parasite,Cinnamaldehyde,Low,1,8,8,1
Parasite,Cinnamaldehyde,Low,1,9,8,1
Parasite,Cinnamaldehyde,Low,1,10,10,1
Parasite,Cinnamaldehyde,Low,1,11,13,1
Parasite,Cinnamaldehyde,Low,1,12,11,0
Parasite,Cinnamaldehyde,Low,1,13,11,0
Parasite,Cinnamaldehyde,Low,1,14,11,0
Parasite,Cinnamaldehyde,Low,2,1,8,1
Parasite,Cinnamaldehyde,Low,2,2,8,1
Parasite,Cinnamaldehyde,Low,2,3,8,1
Parasite,Cinnamaldehyde,Low,2,4,8,1
Parasite,Cinnamaldehyde,Low,2,5,8,1
Parasite,Cinnamaldehyde,Low,2,6,8,1
Parasite,Cinnamaldehyde,Low,2,7,8,1
Parasite,Cinnamaldehyde,Low,2,8,15,1
Parasite,Cinnamaldehyde,Low,2,9,11,0
Parasite,Cinnamaldehyde,Low,2,10,11,0
Parasite,Cinnamaldehyde,Low,2,11,11,0
Parasite,Cinnamaldehyde,Low,2,12,11,0
Parasite,Cinnamaldehyde,Low,2,13,11,0
Parasite,Cinnamaldehyde,Low,2,14,11,0
Parasite,Cinnamaldehyde,Low,3,1,1,1
Parasite,Cinnamaldehyde,Low,3,2,1,1
Parasite,Cinnamaldehyde,Low,3,3,3,1
Parasite,Cinnamaldehyde,Low,3,4,8,1
Parasite,Cinnamaldehyde,Low,3,5,8,1
Parasite,Cinnamaldehyde,Low,3,6,8,1
Parasite,Cinnamaldehyde,Low,3,7,8,1
Parasite,Cinnamaldehyde,Low,3,8,8,1
Parasite,Cinnamaldehyde,Low,3,9,8,1
Parasite,Cinnamaldehyde,Low,3,10,8,1
Parasite,Cinnamaldehyde,Low,3,11,11,0
Parasite,Cinnamaldehyde,Low,3,12,11,0
Parasite,Cinnamaldehyde,Low,3,13,11,0
Parasite,Cinnamaldehyde,Low,3,14,11,0
Parasite,Cinnamaldehyde,Low,4,1,2,1
Parasite,Cinnamaldehyde,Low,4,2,8,1
Parasite,Cinnamaldehyde,Low,4,3,8,1
Parasite,Cinnamaldehyde,Low,4,4,8,1
Parasite,Cinnamaldehyde,Low,4,5,8,1
Parasite,Cinnamaldehyde,Low,4,6,8,1
Parasite,Cinnamaldehyde,Low,4,7,8,1
Parasite,Cinnamaldehyde,Low,4,8,8,1
Parasite,Cinnamaldehyde,Low,4,9,12,1
Parasite,Cinnamaldehyde,Low,4,10,11,0
Parasite,Cinnamaldehyde,Low,4,11,11,0
Parasite,Cinnamaldehyde,Low,4,12,11,0
Parasite,Cinnamaldehyde,Low,4,13,11,0
Parasite,Cinnamaldehyde,Low,4,14,11,0
Parasite,Cinnamaldehyde,Low,5,1,1,1
Parasite,Cinnamaldehyde,Low,5,2,3,1
Parasite,Cinnamaldehyde,Low,5,3,8,1
Parasite,Cinnamaldehyde,Low,5,4,8,1
Parasite,Cinnamaldehyde,Low,5,5,8,1
Parasite,Cinnamaldehyde,Low,5,6,8,1
Parasite,Cinnamaldehyde,Low,5,7,8,1
Parasite,Cinnamaldehyde,Low,5,8,8,1
Parasite,Cinnamaldehyde,Low,5,9,8,1
Parasite,Cinnamaldehyde,Low,5,10,11,0
Parasite,Cinnamaldehyde,Low,5,11,11,0
Parasite,Cinnamaldehyde,Low,5,12,11,0
Parasite,Cinnamaldehyde,Low,5,13,11,0
Parasite,Cinnamaldehyde,Low,5,14,11,0
Parasite,Cinnamaldehyde,Low,6,1,2,1
Parasite,Cinnamaldehyde,Low,6,2,5,1
Parasite,Cinnamaldehyde,Low,6,3,8,1
Parasite,Cinnamaldehyde,Low,6,4,8,1
Parasite,Cinnamaldehyde,Low,6,5,8,1
Parasite,Cinnamaldehyde,Low,6,6,8,1
Parasite,Cinnamaldehyde,Low,6,7,8,1
Parasite,Cinnamaldehyde,Low,6,8,8,1
Parasite,Cinnamaldehyde,Low,6,9,8,1
Parasite,Cinnamaldehyde,Low,6,10,10,1
Parasite,Cinnamaldehyde,Low,6,11,15,1
Parasite,Cinnamaldehyde,Low,6,12,15,1
Parasite,Cinnamaldehyde,Low,6,13,15,1
Parasite,Cinnamaldehyde,Low,6,14,11,0
Parasite,Thymol,High,1,1,6,1
Parasite,Thymol,High,1,2,8,1
Parasite,Thymol,High,1,3,8,1
Parasite,Thymol,High,1,4,8,1
Parasite,Thymol,High,1,5,8,1
Parasite,Thymol,High,1,6,8,1
Parasite,Thymol,High,1,7,8,1
Parasite,Thymol,High,1,8,8,1
Parasite,Thymol,High,1,9,9,1
Parasite,Thymol,High,1,10,9,1
Parasite,Thymol,High,1,11,13,1
Parasite,Thymol,High,1,12,11,0
Parasite,Thymol,High,1,13,11,0
Parasite,Thymol,High,1,14,11,0
Parasite,Thymol,High,2,1,1,1
Parasite,Thymol,High,2,2,3,1
Parasite,Thymol,High,2,3,8,1
Parasite,Thymol,High,2,4,8,1
Parasite,Thymol,High,2,5,8,1
Parasite,Thymol,High,2,6,8,1
Parasite,Thymol,High,2,7,8,1
Parasite,Thymol,High,2,8,8,1
Parasite,Thymol,High,2,9,8,1
Parasite,Thymol,High,2,10,10,1
Parasite,Thymol,High,2,11,11,0
Parasite,Thymol,High,2,12,11,0
Parasite,Thymol,High,2,13,11,0
Parasite,Thymol,High,2,14,11,0
Parasite,Thymol,High,3,1,1,1
Parasite,Thymol,High,3,2,1,1
Parasite,Thymol,High,3,3,8,1
Parasite,Thymol,High,3,4,8,1
Parasite,Thymol,High,3,5,8,1
Parasite,Thymol,High,3,6,8,1
Parasite,Thymol,High,3,7,8,1
Parasite,Thymol,High,3,8,8,1
Parasite,Thymol,High,3,9,8,1
Parasite,Thymol,High,3,10,11,1
Parasite,Thymol,High,3,11,13,1
Parasite,Thymol,High,3,12,11,0
Parasite,Thymol,High,3,13,11,0
Parasite,Thymol,High,3,14,11,0
Parasite,Thymol,High,4,1,1,1
Parasite,Thymol,High,4,2,3,1
Parasite,Thymol,High,4,3,8,1
Parasite,Thymol,High,4,4,8,1
Parasite,Thymol,High,4,5,8,1
Parasite,Thymol,High,4,6,8,1
Parasite,Thymol,High,4,7,8,1
Parasite,Thymol,High,4,8,8,1
Parasite,Thymol,High,4,9,8,1
Parasite,Thymol,High,4,10,11,1
Parasite,Thymol,High,4,11,11,1
Parasite,Thymol,High,4,12,11,1
Parasite,Thymol,High,4,13,13,1
Parasite,Thymol,High,4,14,13,1
Parasite,Thymol,High,5,1,1,1
Parasite,Thymol,High,5,2,1,1
Parasite,Thymol,High,5,3,3,1
Parasite,Thymol,High,5,4,8,1
Parasite,Thymol,High,5,5,8,1
Parasite,Thymol,High,5,6,8,1
Parasite,Thymol,High,5,7,8,1
Parasite,Thymol,High,5,8,8,1
Parasite,Thymol,High,5,9,8,1
Parasite,Thymol,High,5,10,8,1
Parasite,Thymol,High,5,11,13,1
Parasite,Thymol,High,5,12,11,0
Parasite,Thymol,High,5,13,11,0
Parasite,Thymol,High,5,14,11,0
Parasite,Thymol,High,6,1,1,1
Parasite,Thymol,High,6,2,1,1
Parasite,Thymol,High,6,3,1,1
Parasite,Thymol,High,6,4,1,1
Parasite,Thymol,High,6,5,3,1
Parasite,Thymol,High,6,6,6,1
Parasite,Thymol,High,6,7,8,1
Parasite,Thymol,High,6,8,8,1
Parasite,Thymol,High,6,9,8,1
Parasite,Thymol,High,6,10,8,1
Parasite,Thymol,High,6,11,8,1
Parasite,Thymol,High,6,12,8,1
Parasite,Thymol,High,6,13,8,1
Parasite,Thymol,High,6,14,12,1
Parasite,Thymol,Low,1,1,8,1
Parasite,Thymol,Low,1,2,8,1
Parasite,Thymol,Low,1,3,8,1
Parasite,Thymol,Low,1,4,8,1
Parasite,Thymol,Low,1,5,8,1
Parasite,Thymol,Low,1,6,8,1
Parasite,Thymol,Low,1,7,8,1
Parasite,Thymol,Low,1,8,10,1
Parasite,Thymol,Low,1,9,11,0
Parasite,Thymol,Low,1,10,11,0
Parasite,Thymol,Low,1,11,11,0
Parasite,Thymol,Low,1,12,11,0
